anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2021;0100502-0;0100502;0;TERNURITAS;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;15;5;10;0;0;JUNIN;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Urbana
2021;0101315-0;0101315;0;CAHUIDE;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;7;3;4;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2021;0101319-0;0101319;0;RAYITOS DE LUZ;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;13;5;8;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2021;0101322-0;0101322;0;NUBECITAS;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;12;4;8;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2021;0102101-0;0102101;0;LOS INVENTORES;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;14;7;7;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2021;0104403-0;0104403;0;NIÑOS EMPRENDEDORES;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;20;10;10;0;0;JUNIN;HUANCAYO;CHILCA;UGEL HUANCAYO;Urbana
2021;0106209-0;0106209;0;ORQUIDEAS;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;14;5;9;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2021;0106210-0;0106210;0;PENSAMIENTOS;Pública de gestión directa;A5;Inicial no escolarizado;Inicial;12;6;6;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2021;0217299-0;0217299;0;MARIA AUXILIADORA;Privada;F0;Secundaria;Secundaria;180;180;0;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2021;0215004-0;0215004;0;30566 ALEJANDRO RUFINO ESPINOZA LEON;Pública de gestión directa;B0;Primaria;Primaria;29;13;16;0;0;JUNIN;JAUJA;YAUYOS;UGEL JAUJA;Rural
2021;0215012-0;0215012;0;30533 JOSE CELESTINO HUATUCO DAVILA;Pública de gestión directa;B0;Primaria;Primaria;105;54;51;0;5;JUNIN;JAUJA;YAUYOS;UGEL JAUJA;Urbana
