anio;provincia;distrito;ugel;nivel_agrupado;gestion;area;total_estudiantes;mujeres;hombres;retirados;total_atraso
2021;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Urbana;854;410;444;0;0
2021;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Urbana;4002;1978;2024;0;0
2021;HUANCAYO;CHILCA;UGEL HUANCAYO;Inicial;Pública de gestión directa;Urbana;1767;883;884;0;0
2021;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Urbana;4217;2103;2114;0;0
2021;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Secundaria;Privada;Urbana;4852;2366;2486;14;120
2021;JAUJA;YAUYOS;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;29;13;16;0;0
2021;JAUJA;YAUYOS;UGEL JAUJA;Primaria;Pública de gestión directa;Urbana;127;66;61;0;7
2021;JAUJA;CURICACA;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;113;47;66;0;0
2021;JAUJA;SAUSA;UGEL JAUJA;Primaria;Pública de gestión directa;Urbana;129;58;71;0;6
2021;JAUJA;POMACANCHA;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;160;77;83;0;7
2021;JAUJA;MASMA CHICCHE;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;96;43;53;0;1
2021;JAUJA;JANJAILLO;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;43;25;18;0;0
2021;JAUJA;SAUSA;UGEL JAUJA;Inicial;Pública de gestión directa;Urbana;187;92;95;0;0
2021;JAUJA;YAUYOS;UGEL JAUJA;Inicial;Pública de gestión directa;Urbana;147;61;86;0;0
2021;TARMA;TARMA;UGEL TARMA;Primaria;Pública de gestión directa;Rural;362;178;184;0;21
2021;TARMA;ACOBAMBA;UGEL TARMA;Primaria;Pública de gestión directa;Rural;423;212;211;1;14
2021;YAULI;LA OROYA;UGEL YAULI;Primaria;Pública de gestión directa;Urbana;1680;825;855;9;16
2021;YAULI;SANTA ROSA DE SACCO;UGEL YAULI;Primaria;Pública de gestión directa;Urbana;284;135;149;0;2
2021;YAULI;LA OROYA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;40;15;25;0;0
2021;YAULI;SANTA BARBARA DE CARHUACAYAN;UGEL YAULI;Primaria;Pública de gestión directa;Rural;121;57;64;0;8
2021;YAULI;CHACAPALPA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;54;27;27;1;2
2021;YAULI;HUAY-HUAY;UGEL YAULI;Primaria;Pública de gestión directa;Rural;159;83;76;0;1
2021;YAULI;MARCAPOMACOCHA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;113;50;63;0;9
2021;YAULI;MOROCOCHA;UGEL YAULI;Primaria;Pública de gestión directa;Urbana;313;159;154;0;3
2021;YAULI;PACCHA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;98;43;55;0;4
2021;YAULI;SUITUCANCHA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;110;54;56;0;3
2021;YAULI;YAULI;UGEL YAULI;Primaria;Pública de gestión directa;Urbana;155;80;75;0;1
2021;YAULI;YAULI;UGEL YAULI;Primaria;Pública de gestión directa;Rural;170;93;77;0;7
2021;YAULI;MOROCOCHA;UGEL YAULI;Primaria;Pública de gestión directa;Rural;53;18;35;0;2
2021;HUANCAYO;PARIAHUANCA;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;750;372;378;0;31
2021;HUANCAYO;SAÑO;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;9;3;6;0;0
2021;HUANCAYO;SANTO DOMINGO DE ACOBAMBA;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;901;444;457;0;46
2021;CONCEPCION;COMAS;UGEL CONCEPCIÓN;Primaria;Pública de gestión directa;Rural;756;374;382;4;45
2021;CONCEPCION;ANDAMARCA;UGEL CONCEPCIÓN;Primaria;Pública de gestión directa;Rural;763;388;375;1;42
2021;SATIPO;SATIPO;UGEL SATIPO;Primaria;Pública de gestión directa;Rural;1639;780;859;3;152
2021;SATIPO;PANGOA;UGEL PANGOA;Primaria;Pública de gestión directa;Rural;6163;3026;3137;9;602
2021;SATIPO;RIO NEGRO;UGEL SATIPO;Primaria;Pública de gestión directa;Rural;2331;1132;1199;3;214
2021;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Primaria;Pública de gestión directa;Rural;3028;1429;1599;7;253
2021;CHANCHAMAYO;PERENE;UGEL CHANCHAMAYO;Primaria;Pública de gestión directa;Rural;2561;1225;1336;6;134
2021;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Primaria;Pública de gestión directa;Rural;388;183;205;0;27
2021;CHANCHAMAYO;VITOC;UGEL CHANCHAMAYO;Primaria;Pública de gestión directa;Rural;195;92;103;0;7
2021;JUNIN;ONDORES;UGEL JUNÍN;Primaria;Pública de gestión directa;Rural;75;40;35;0;1
2021;HUANCAYO;CULLHUAS;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;152;68;84;0;5
2021;HUANCAYO;HUAYUCACHI;UGEL HUANCAYO;Primaria;Pública de gestión directa;Urbana;1171;590;581;0;27
2021;HUANCAYO;HUASICANCHA;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;113;63;50;0;3
2021;JUNIN;ULCUMAYO;UGEL JUNÍN;Primaria;Pública de gestión directa;Rural;590;279;311;0;17
2021;TARMA;HUASAHUASI;UGEL TARMA;Primaria;Pública de gestión directa;Rural;564;290;274;2;18
2021;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Primaria;Pública de gestión directa;Rural;1238;616;622;0;75
2021;HUANCAYO;PUCARA;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;210;111;99;0;5
